# 동결 벡터 v1 (#243) — 출하된 FORMULA_VERSION=1의 출력을 박제한 파일.
# **절대 수정하지 않는다.** 엔진 출력이 이 값과 달라지면 CI가 실패하며, 그때는 이 파일을
# 고치는 게 아니라 XpEngine.FORMULA_VERSION을 올리고 v2 파일을 새로 만든다.
# 이미 테스터 원장에 쌓인 v1 이벤트의 '의미'를 소급 변경하지 않기 위한 장치(BACKEND §1).
base,personalCoef,trust,balance,expected
1000.0,1.0,0.85,1.15,300
1000.0,1.0,1.0,1.0,300
1000.0,1.0,1.0,1.15,300
1000.0,1.5,0.0,1.0,0
1000.0,1.5,0.0,1.15,0
1000.0,1.5,0.85,1.0,300
1000.0,1.5,0.85,1.15,300
1000.0,1.5,1.0,1.0,300
1000.0,1.5,1.0,1.15,300
1000.0,2.0,0.0,1.0,0
1000.0,2.0,0.0,1.15,0
1000.0,2.0,0.85,1.0,300
1000.0,2.0,0.85,1.15,300
1000.0,2.0,1.0,1.0,300
1000.0,2.0,1.0,1.15,300
